date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:27:25	437825/437825	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2021:27:24%20GMT	https://codi.bold-themes-cdn.com/demo-02/home/home-04/	C:/CAMFEL%20Website/Camfel/codi.bold-themes-cdn.com/demo-02/home/home-04/index.html	(from )
17:27:26	119/119	---MCZ	200	added ('OK')	text/plain	date:Sat,%2004%20Nov%202023%2021:27:25%20GMT	https://codi.bold-themes-cdn.com/robots.txt		(from )
17:27:26	104484/104484	---MCZ	200	added ('OK')	text/css	etag:W/%2219824-60438bed0b821%22	https://codi.bold-themes-cdn.com/demo-02/wp-includes/css/dist/block-library/style.min.css?ver=6.3.2	C:/CAMFEL%20Website/Camfel/codi.bold-themes-cdn.com/demo-02/wp-includes/css/dist/block-library/style.mine35d.css	(from https://codi.bold-themes-cdn.com/demo-02/home/home-04/)
17:27:27	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%226f0-608268244dc19%22	https://codi.bold-themes-cdn.com/demo-02/wp-content/plugins/bold-page-builder/slick/slick.css?ver=4.7.2	C:/CAMFEL%20Website/Camfel/codi.bold-themes-cdn.com/demo-02/wp-content/plugins/bold-page-builder/slick/slicke100.css	(from https://codi.bold-themes-cdn.com/demo-02/home/home-04/)
17:27:27	2266116/2266116	---MCZ	200	added ('OK')	text/css	etag:W/%22229404-60826824410f8%22	https://codi.bold-themes-cdn.com/demo-02/wp-content/plugins/bold-page-builder/css/front_end/content_elements.crush.css?ver=4.7.2	C:/CAMFEL%20Website/Camfel/codi.bold-themes-cdn.com/demo-02/wp-content/plugins/bold-page-builder/css/front_end/content_elements.crushe100.css	(from https://codi.bold-themes-cdn.com/demo-02/home/home-04/)
17:27:27	180749/180749	---MCZ	200	added ('OK')	text/css	etag:W/%222c20d-604391d899d79%22	https://codi.bold-themes-cdn.com/demo-02/wp-content/plugins/bold-timeline-lite/style.css?ver=6.3.2	C:/CAMFEL%20Website/Camfel/codi.bold-themes-cdn.com/demo-02/wp-content/plugins/bold-timeline-lite/stylee35d.css	(from https://codi.bold-themes-cdn.com/demo-02/home/home-04/)
17:27:27	38313/38313	---MCZ	200	added ('OK')	text/css	etag:W/%2295a9-604391d6f75ae%22	https://codi.bold-themes-cdn.com/demo-02/wp-content/plugins/bt_cost_calculator/style.min.css?ver=6.3.2	C:/CAMFEL%20Website/Camfel/codi.bold-themes-cdn.com/demo-02/wp-content/plugins/bt_cost_calculator/style.mine35d.css	(from https://codi.bold-themes-cdn.com/demo-02/home/home-04/)
17:27:28	2859/2859	---MCZ	200	added ('OK')	text/css	etag:W/%22b2b-607952ee8d605%22	https://codi.bold-themes-cdn.com/demo-02/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.8.1	C:/CAMFEL%20Website/Camfel/codi.bold-themes-cdn.com/demo-02/wp-content/plugins/contact-form-7/includes/css/stylesf658.css	(from https://codi.bold-themes-cdn.com/demo-02/home/home-04/)
17:27:28	17572/17572	---MCZ	200	added ('OK')	text/css	etag:W/%2244a4-6082682773ac8%22	https://codi.bold-themes-cdn.com/demo-02/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=8.2.1	C:/CAMFEL%20Website/Camfel/codi.bold-themes-cdn.com/demo-02/wp-content/plugins/woocommerce/assets/css/woocommerce-layoutee31.css	(from https://codi.bold-themes-cdn.com/demo-02/home/home-04/)
17:27:28	7043/7043	---MCZ	200	added ('OK')	text/css	etag:W/%221b83-6082682773eb0%22	https://codi.bold-themes-cdn.com/demo-02/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=8.2.1	C:/CAMFEL%20Website/Camfel/codi.bold-themes-cdn.com/demo-02/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreenee31.css	(from https://codi.bold-themes-cdn.com/demo-02/home/home-04/)
17:27:28	74669/74669	---MCZ	200	added ('OK')	text/css	etag:W/%22123ad-6082682773ac8%22	https://codi.bold-themes-cdn.com/demo-02/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=8.2.1	C:/CAMFEL%20Website/Camfel/codi.bold-themes-cdn.com/demo-02/wp-content/plugins/woocommerce/assets/css/woocommerceee31.css	(from https://codi.bold-themes-cdn.com/demo-02/home/home-04/)
17:27:29	916787/916787	---MCZ	200	added ('OK')	text/css	etag:W/%22dfd33-604d4a696fc3c%22	https://codi.bold-themes-cdn.com/demo-02/wp-content/themes/codi/style.css?ver=1.0.0	C:/CAMFEL%20Website/Camfel/codi.bold-themes-cdn.com/demo-02/wp-content/themes/codi/style8a54.css	(from https://codi.bold-themes-cdn.com/demo-02/home/home-04/)
17:27:29	87482/87482	---MCZ	200	added ('OK')	application/javascript	etag:W/%22155ba-60438becc04eb%22	https://codi.bold-themes-cdn.com/demo-02/wp-includes/js/jquery/jquery.min.js?ver=3.7.0	C:/CAMFEL%20Website/Camfel/codi.bold-themes-cdn.com/demo-02/wp-includes/js/jquery/jquery.min3088.js	(from https://codi.bold-themes-cdn.com/demo-02/home/home-04/)
17:27:29	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%223509-60438becc0103%22	https://codi.bold-themes-cdn.com/demo-02/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/CAMFEL%20Website/Camfel/codi.bold-themes-cdn.com/demo-02/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://codi.bold-themes-cdn.com/demo-02/home/home-04/)
17:27:29	42863/42863	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a76f-608268244e001%22	https://codi.bold-themes-cdn.com/demo-02/wp-content/plugins/bold-page-builder/slick/slick.min.js?ver=4.7.2	C:/CAMFEL%20Website/Camfel/codi.bold-themes-cdn.com/demo-02/wp-content/plugins/bold-page-builder/slick/slick.mine100.js	(from https://codi.bold-themes-cdn.com/demo-02/home/home-04/)
17:27:29	20216/20216	---MCZ	200	added ('OK')	application/javascript	etag:W/%224ef8-608268243d660%22	https://codi.bold-themes-cdn.com/demo-02/wp-content/plugins/bold-page-builder/content_elements_misc/js/jquery.magnific-popup.min.js?ver=4.7.2	C:/CAMFEL%20Website/Camfel/codi.bold-themes-cdn.com/demo-02/wp-content/plugins/bold-page-builder/content_elements_misc/js/jquery.magnific-popup.mine100.js	(from https://codi.bold-themes-cdn.com/demo-02/home/home-04/)
17:27:30	31285/31285	---MCZ	200	added ('OK')	application/javascript	etag:W/%227a35-608268243ce90%22	https://codi.bold-themes-cdn.com/demo-02/wp-content/plugins/bold-page-builder/content_elements_misc/js/content_elements.js?ver=4.7.2	C:/CAMFEL%20Website/Camfel/codi.bold-themes-cdn.com/demo-02/wp-content/plugins/bold-page-builder/content_elements_misc/js/content_elementse100.js	(from https://codi.bold-themes-cdn.com/demo-02/home/home-04/)
17:27:30	1713/1713	---MCZ	200	added ('OK')	application/javascript	etag:W/%226b1-604391d88da25%22	https://codi.bold-themes-cdn.com/demo-02/wp-content/plugins/bold-timeline-lite/bold-builder-light/bt-bb-light.js?ver=6.3.2	C:/CAMFEL%20Website/Camfel/codi.bold-themes-cdn.com/demo-02/wp-content/plugins/bold-timeline-lite/bold-builder-light/bt-bb-lighte35d.js	(from https://codi.bold-themes-cdn.com/demo-02/home/home-04/)
